brand_name,generic_name,manufacturer_name,product_type,active_ingredients,route,substance_name,application_number
,,,,[],,,ANDA072903
,,,,[],,,ANDA072918
,,,,[],,,ANDA072938
,,,,[],,,ANDA072946
,,,,[],,,ANDA072986
,,,,[],,,ANDA072997
,,,,[],,,ANDA073080
,,,,[],,,ANDA073117
,,,,[],,,ANDA073141
,,,,[],,,ANDA073199
,,,,[],,,ANDA073261
,,,,[],,,ANDA073340
,,,,[],,,ANDA073393
,,,,[],,,ANDA073399
,,,,[],,,ANDA073447
,,,,[],,,ANDA073466
,,,,[],,,ANDA073515
,,,,[],,,ANDA073519
,,,,[],,,ANDA073523
,,,,[],,,ANDA073548
,,,,[],,,ANDA073580
,,,,[],,,ANDA073589
,,,,[],,,ANDA073607
,,,,[],,,ANDA073636
,,,,[],,,ANDA073696
,,,,[],,,ANDA074054
,,,,[],,,ANDA074077
,,,,[],,,ANDA074080
,,,,[],,,ANDA074103
,,,,[],,,ANDA074133
,,,,[],,,ANDA074136
,,,,[],,,ANDA074139
,,,,[],,,ANDA074145
,,,,[],,,ANDA074182
,,,,[],,,ANDA074190
,,,,[],,,ANDA074216
,,,,[],,,ANDA074221
,,,,[],,,ANDA074226
,,,,[],,,ANDA074227
,,,,[],,,ANDA074242
,,,,[],,,ANDA074248
,,,,[],,,ANDA074284
,,,,[],,,ANDA074312
,,,,[],,,ANDA074315
,,,,[],,,ANDA074346
,,,,[],,,ANDA074366
,,,,[],,,ANDA074367
,,,,[],,,ANDA074370
,,,,[],,,ANDA074377
,,,,[],,,NDA016803
,,,,[],,,ANDA074388
,,,,[],,,ANDA074394
,,,,[],,,ANDA074400
,,,,[],,,ANDA074402
,,,,[],,,ANDA074407
,,,,[],,,ANDA074410
,,,,[],,,ANDA074411
,,,,[],,,ANDA074412
,,,,[],,,ANDA074425
,,,,[],,,ANDA074437
,,,,[],,,ANDA074466
,,,,[],,,ANDA074473
,,,,[],,,ANDA074489
,,,,[],,,ANDA074498
,,,,[],,,ANDA074515
,,,,[],,,ANDA074517
,,,,[],,,ANDA074519
,,,,[],,,NDA016832
,,,,[],,,ANDA074560
,,,,[],,,ANDA074562
,,,,[],,,ANDA074588
,,,,[],,,ANDA074631
,,,,[],,,ANDA074636
,,,,[],,,ANDA074641
,,,,[],,,ANDA074650
,,,,[],,,ANDA074653
,,,,[],,,ANDA074657
,,,,[],,,ANDA074665
,,,,[],,,ANDA074680
,,,,[],,,ANDA074699
,,,,[],,,ANDA074719
,,,,[],,,ANDA074720
,,,,[],,,ANDA074735
,,,,[],,,NDA016904
,,,,[],,,NDA016909
,,,,[],,,ANDA074799
,,,,[],,,ANDA074824
,,,,[],,,ANDA074834
,,,,[],,,ANDA074843
,,,,[],,,ANDA074846
,,,,[],,,ANDA074848
,,,,[],,,NDA016927
,,,,[],,,ANDA074888
,,,,[],,,ANDA074894
,,,,[],,,NDA016943
,,,,[],,,ANDA074948
,,,,[],,,ANDA074956
,,,,[],,,ANDA074967
,,,,[],,,ANDA074972
,,,,[],,,ANDA074975
,,,,[],,,ANDA075000
,,,,[],,,NDA016980
,,,,[],,,ANDA075067
,,,,[],,,ANDA075072
,,,,[],,,ANDA075077
,,,,[],,,NDA016987
,,,,[],,,ANDA075086
,,,,[],,,ANDA075100
,,,,[],,,ANDA075104
,,,,[],,,ANDA075105
,,,,[],,,ANDA075106
,,,,[],,,ANDA075109
,,,,[],,,ANDA075124
,,,,[],,,ANDA075126
,,,,[],,,NDA016998
,,,,[],,,ANDA075151
,,,,[],,,ANDA075164
,,,,[],,,NDA006668
,,,,[],,,ANDA075183
,,,,[],,,ANDA075184
,,,,[],,,ANDA075193
,,,,[],,,ANDA075196
,,,,[],,,ANDA075227
,,,,[],,,ANDA075240
,,,,[],,,ANDA075250
,,,,[],,,NDA017020
,,,,[],,,ANDA075279
,,,,[],,,ANDA075296
,,,,[],,,NDA006695
,,,,[],,,ANDA075305
,,,,[],,,ANDA075318
,,,,[],,,NDA017036
,,,,[],,,ANDA075327
,,,,[],,,ANDA075331
,,,,[],,,ANDA075347
,,,,[],,,ANDA075364
,,,,[],,,ANDA075386
,,,,[],,,ANDA075401
,,,,[],,,ANDA075412
,,,,[],,,ANDA075429
,,,,[],,,ANDA075430
,,,,[],,,ANDA075438
,,,,[],,,ANDA075442
,,,,[],,,ANDA075452
,,,,[],,,NDA017057
,,,,[],,,ANDA075458
,,,,[],,,ANDA075466
,,,,[],,,ANDA075473
,,,,[],,,ANDA075481
,,,,[],,,ANDA075484
,,,,[],,,ANDA075486
,,,,[],,,ANDA075504
,,,,[],,,ANDA075506
,,,,[],,,ANDA075525
,,,,[],,,ANDA075529
,,,,[],,,ANDA075530
,,,,[],,,NDA017078
,,,,[],,,ANDA075567
,,,,[],,,ANDA075570
,,,,[],,,ANDA075591
,,,,[],,,ANDA075615
,,,,[],,,ANDA075622
,,,,[],,,NDA017109
,,,,[],,,ANDA075666
,,,,[],,,ANDA075668
,,,,[],,,ANDA075672
,,,,[],,,ANDA075685
,,,,[],,,ANDA075710
,,,,[],,,ANDA075717
,,,,[],,,ANDA075718
,,,,[],,,ANDA075719
,,,,[],,,ANDA075733
,,,,[],,,ANDA075749
,,,,[],,,ANDA075765
,,,,[],,,ANDA075773
,,,,[],,,ANDA075775
,,,,[],,,ANDA075780
,,,,[],,,ANDA075792
,,,,[],,,ANDA075798
,,,,[],,,NDA017256
,,,,[],,,ANDA075831
,,,,[],,,ANDA075851
,,,,[],,,ANDA075855
,,,,[],,,ANDA075862
,,,,[],,,ANDA075880
,,,,[],,,NDA017284
,,,,[],,,ANDA075901
,,,,[],,,ANDA075927
,,,,[],,,ANDA075940
,,,,[],,,ANDA075942
,,,,[],,,ANDA075943
,,,,[],,,ANDA075948
,,,,[],,,ANDA075964
,,,,[],,,ANDA075975
,,,,[],,,ANDA075979
,,,,[],,,ANDA075989
,,,,[],,,ANDA075991
,,,,[],,,NDA017346
,,,,[],,,ANDA076008
,,,,[],,,ANDA076018
,,,,[],,,ANDA076027
,,,,[],,,ANDA076030
,,,,[],,,ANDA076037
,,,,[],,,NDA006811
,,,,[],,,ANDA076050
,,,,[],,,ANDA076057
,,,,[],,,ANDA076070
,,,,[],,,NDA017369
,,,,[],,,ANDA076116
,,,,[],,,ANDA076126
,,,,[],,,ANDA076129
,,,,[],,,ANDA076143
,,,,[],,,ANDA076145
,,,,[],,,NDA017376
,,,,[],,,NDA000004
,,,,[],,,ANDA076188
,,,,[],,,NDA017381
,,,,[],,,ANDA076203
,,,,[],,,ANDA076206
,,,,[],,,ANDA076212
,,,,[],,,ANDA076216
,,,,[],,,NDA017395
,,,,[],,,ANDA076269
,,,,[],,,ANDA076277
,,,,[],,,ANDA076278
,,,,[],,,ANDA076280
,,,,[],,,ANDA076284
,,,,[],,,NDA006882
,,,,[],,,ANDA076300
,,,,[],,,NDA017412
,,,,[],,,ANDA076354
,,,,[],,,ANDA076355
,,,,[],,,ANDA076357
,,,,[],,,ANDA076367
,,,,[],,,ANDA076370
,,,,[],,,ANDA076374
,,,,[],,,ANDA076409
,,,,[],,,ANDA076417
,,,,[],,,NDA017424
,,,,[],,,ANDA076432
,,,,[],,,ANDA076490
,,,,[],,,NDA017434
,,,,[],,,ANDA076533
,,,,[],,,ANDA076577
,,,,[],,,ANDA076584
,,,,[],,,ANDA076586
,,,,[],,,ANDA076609
,,,,[],,,ANDA076627
,,,,[],,,ANDA076629
,,,,[],,,ANDA076633
,,,,[],,,ANDA076645
,,,,[],,,ANDA076650
,,,,[],,,ANDA076691
,,,,[],,,ANDA076696
,,,,[],,,ANDA076721
,,,,[],,,NDA017466
,,,,[],,,ANDA076726
,,,,[],,,ANDA076732
,,,,[],,,ANDA076751
,,,,[],,,ANDA076764
,,,,[],,,ANDA076766
,,,,[],,,ANDA076777
,,,,[],,,ANDA076779
,,,,[],,,ANDA076814
,,,,[],,,ANDA076824
,,,,[],,,ANDA076837
,,,,[],,,ANDA076869
,,,,[],,,ANDA076875
,,,,[],,,NDA017494
,,,,[],,,ANDA076891
,,,,[],,,ANDA076898
,,,,[],,,ANDA076910
,,,,[],,,ANDA076938
,,,,[],,,ANDA076939
,,,,[],,,ANDA076960
,,,,[],,,ANDA076968
,,,,[],,,ANDA076988
,,,,[],,,ANDA077001
,,,,[],,,ANDA077006
,,,,[],,,ANDA077015
,,,,[],,,NDA017516
,,,,[],,,ANDA077019
,,,,[],,,ANDA077025
,,,,[],,,ANDA077032
,,,,[],,,ANDA077035
,,,,[],,,NDA017521
,,,,[],,,ANDA077040
,,,,[],,,ANDA077048
,,,,[],,,ANDA077052
,,,,[],,,ANDA077058
,,,,[],,,NDA017525
,,,,[],,,ANDA077064
,,,,[],,,ANDA077070
,,,,[],,,ANDA077076
,,,,[],,,ANDA077077
,,,,[],,,ANDA077078
,,,,[],,,ANDA077080
,,,,[],,,ANDA077090
,,,,[],,,ANDA077091
,,,,[],,,ANDA077094
,,,,[],,,ANDA077096
,,,,[],,,ANDA077127
,,,,[],,,ANDA077144
,,,,[],,,ANDA077161
,,,,[],,,ANDA077172
,,,,[],,,ANDA077180
,,,,[],,,ANDA077194
,,,,[],,,ANDA077197
,,,,[],,,NDA017546
,,,,[],,,ANDA077219
,,,,[],,,NDA017548
,,,,[],,,ANDA077232
,,,,[],,,ANDA077239
,,,,[],,,ANDA077255
,,,,[],,,ANDA077267
,,,,[],,,ANDA077274
,,,,[],,,ANDA077283
,,,,[],,,ANDA077318
,,,,[],,,ANDA077346
,,,,[],,,ANDA077364
,,,,[],,,ANDA077365
,,,,[],,,NDA017563
,,,,[],,,ANDA077415
,,,,[],,,ANDA077438
,,,,[],,,ANDA077450
,,,,[],,,ANDA077456
,,,,[],,,ANDA077487
,,,,[],,,NDA017576
,,,,[],,,ANDA077494
,,,,[],,,ANDA077510
,,,,[],,,ANDA077515
,,,,[],,,ANDA077517
,,,,[],,,ANDA077519
,,,,[],,,ANDA077538
,,,,[],,,ANDA077545
,,,,[],,,ANDA077551
,,,,[],,,ANDA077611
,,,,[],,,ANDA077616
,,,,[],,,ANDA077630
,,,,[],,,ANDA077636
,,,,[],,,ANDA077665
,,,,[],,,ANDA077678
,,,,[],,,ANDA077681
,,,,[],,,ANDA077684
,,,,[],,,ANDA077686
,,,,[],,,ANDA077702
,,,,[],,,ANDA077715
,,,,[],,,ANDA077770
,,,,[],,,NDA017618
,,,,[],,,ANDA077793
,,,,[],,,ANDA077795
,,,,[],,,ANDA077818
,,,,[],,,ANDA077839
,,,,[],,,ANDA077846
,,,,[],,,ANDA077849
,,,,[],,,ANDA077857
,,,,[],,,ANDA077869
,,,,[],,,ANDA077888
,,,,[],,,ANDA077913
,,,,[],,,ANDA077920
,,,,[],,,ANDA077925
,,,,[],,,NDA007320
,,,,[],,,ANDA077956
,,,,[],,,ANDA077969
,,,,[],,,ANDA077973
,,,,[],,,ANDA077977
,,,,[],,,ANDA077995
,,,,[],,,ANDA077997
,,,,[],,,ANDA077998
,,,,[],,,ANDA078009
,,,,[],,,ANDA078069
,,,,[],,,ANDA078070
,,,,[],,,ANDA078116
,,,,[],,,ANDA078127
,,,,[],,,ANDA078134
,,,,[],,,ANDA078138
,,,,[],,,ANDA078145
,,,,[],,,ANDA078147
,,,,[],,,ANDA078152
,,,,[],,,ANDA078156
,,,,[],,,ANDA078169
,,,,[],,,ANDA078171
,,,,[],,,ANDA078192
,,,,[],,,ANDA078202
,,,,[],,,ANDA078214
,,,,[],,,ANDA078231
,,,,[],,,ANDA078241
,,,,[],,,ANDA078270
,,,,[],,,ANDA078282
,,,,[],,,ANDA078284
,,,,[],,,ANDA078290
,,,,[],,,ANDA078298
,,,,[],,,ANDA078300
,,,,[],,,ANDA078302
,,,,[],,,ANDA078311
,,,,[],,,ANDA078325
,,,,[],,,ANDA078350
,,,,[],,,ANDA078357
,,,,[],,,ANDA078394
,,,,[],,,ANDA078406
,,,,[],,,NDA017710
,,,,[],,,ANDA078407
,,,,[],,,NDA017714
,,,,[],,,ANDA078433
,,,,[],,,ANDA078450
,,,,[],,,ANDA078468
,,,,[],,,ANDA078490
,,,,[],,,ANDA078516
,,,,[],,,NDA017741
,,,,[],,,ANDA078547
,,,,[],,,ANDA078552
,,,,[],,,ANDA078554
,,,,[],,,ANDA078559
,,,,[],,,NDA017751
,,,,[],,,ANDA078561
,,,,[],,,ANDA078582
,,,,[],,,ANDA078596
,,,,[],,,ANDA078597
,,,,[],,,ANDA078599
,,,,[],,,ANDA078602
,,,,[],,,ANDA078608
,,,,[],,,ANDA078633
,,,,[],,,ANDA078636
,,,,[],,,ANDA078653
,,,,[],,,ANDA078662
,,,,[],,,ANDA078665
,,,,[],,,ANDA078687
,,,,[],,,ANDA078692
,,,,[],,,ANDA078699
,,,,[],,,NDA003158
,,,,[],,,ANDA078705
,,,,[],,,ANDA078707
,,,,[],,,ANDA078742
,,,,[],,,ANDA078748
,,,,[],,,ANDA078794
,,,,[],,,ANDA078796
,,,,[],,,ANDA078803
,,,,[],,,ANDA078806
,,,,[],,,NDA017802
,,,,[],,,ANDA078818
,,,,[],,,ANDA078826
,,,,[],,,ANDA078827
,,,,[],,,ANDA078862
,,,,[],,,ANDA078868
,,,,[],,,ANDA078878
,,,,[],,,ANDA078881
,,,,[],,,ANDA078889
,,,,[],,,NDA017813
,,,,[],,,ANDA078904
,,,,[],,,ANDA078936
,,,,[],,,ANDA078941
,,,,[],,,ANDA078969
,,,,[],,,NDA017829
,,,,[],,,ANDA079001
,,,,[],,,ANDA079017
,,,,[],,,ANDA079039
,,,,[],,,ANDA079060
,,,,[],,,ANDA079067
,,,,[],,,ANDA079075
,,,,[],,,ANDA079082
,,,,[],,,ANDA079089
,,,,[],,,ANDA079118
,,,,[],,,ANDA079147
,,,,[],,,ANDA079148
,,,,[],,,NDA017858
,,,,[],,,ANDA079185
,,,,[],,,ANDA079191
,,,,[],,,ANDA079211
,,,,[],,,NDA017866
,,,,[],,,ANDA079247
,,,,[],,,NDA017867
,,,,[],,,ANDA080097
,,,,[],,,ANDA080123
,,,,[],,,ANDA080153
,,,,[],,,ANDA080157
,,,,[],,,ANDA080232
,,,,[],,,ANDA080235
,,,,[],,,ANDA080248
,,,,[],,,ANDA080304
,,,,[],,,ANDA080322
,,,,[],,,ANDA080339
,,,,[],,,ANDA080340
,,,,[],,,ANDA080350
,,,,[],,,ANDA080355
,,,,[],,,ANDA080356
,,,,[],,,ANDA080401
,,,,[],,,ANDA080421
,,,,[],,,ANDA080425
,,,,[],,,ANDA080472
,,,,[],,,ANDA080492
,,,,[],,,ANDA080515
,,,,[],,,ANDA080517
,,,,[],,,ANDA080523
,,,,[],,,ANDA080557
,,,,[],,,ANDA080586
,,,,[],,,ANDA080596
,,,,[],,,ANDA080600
,,,,[],,,ANDA080615
,,,,[],,,ANDA080630
,,,,[],,,ANDA080668
,,,,[],,,ANDA080692
,,,,[],,,ANDA080727
,,,,[],,,ANDA080736
,,,,[],,,ANDA080743
,,,,[],,,ANDA080746
,,,,[],,,ANDA080747
,,,,[],,,ANDA080770
,,,,[],,,ANDA080780
,,,,[],,,ANDA080785
,,,,[],,,ANDA080809
,,,,[],,,ANDA080845
,,,,[],,,ANDA080848
,,,,[],,,NDA017963
,,,,[],,,ANDA080937
,,,,[],,,ANDA080972
,,,,[],,,ANDA080975
,,,,[],,,NDA007707
,,,,[],,,ANDA081067
,,,,[],,,ANDA081068
,,,,[],,,ANDA081134
,,,,[],,,ANDA081271
,,,,[],,,ANDA081309
,,,,[],,,ANDA081310
,,,,[],,,ANDA081318
,,,,[],,,ANDA083029
,,,,[],,,ANDA083040
,,,,[],,,ANDA083078
,,,,[],,,ANDA083080
,,,,[],,,ANDA083101
,,,,[],,,ANDA083115
,,,,[],,,ANDA083123
,,,,[],,,ANDA083130
,,,,[],,,ANDA083134
,,,,[],,,ANDA083147
,,,,[],,,NDA018009
,,,,[],,,ANDA083203
,,,,[],,,ANDA083237
,,,,[],,,ANDA083281
,,,,[],,,ANDA083288
,,,,[],,,ANDA083301
,,,,[],,,ANDA083320
,,,,[],,,ANDA083325
,,,,[],,,ANDA083345
,,,,[],,,ANDA083347
,,,,[],,,ANDA083363
,,,,[],,,ANDA083368
,,,,[],,,ANDA083376
,,,,[],,,ANDA083383
,,,,[],,,ANDA083397
,,,,[],,,ANDA083439
,,,,[],,,ANDA083441
,,,,[],,,ANDA083518
,,,,[],,,ANDA083524
,,,,[],,,ANDA083538
,,,,[],,,NDA018031
,,,,[],,,ANDA083559
,,,,[],,,ANDA083563
,,,,[],,,NDA007794
,,,,[],,,ANDA083618
,,,,[],,,ANDA083633
,,,,[],,,ANDA083658
,,,,[],,,NDA018046
,,,,[],,,ANDA083735
,,,,[],,,ANDA083745
,,,,[],,,NDA018050
,,,,[],,,ANDA083771
,,,,[],,,ANDA083778
,,,,[],,,ANDA083820
,,,,[],,,NDA007842
,,,,[],,,ANDA083879
,,,,[],,,ANDA083891
,,,,[],,,ANDA083923
,,,,[],,,ANDA083925
,,,,[],,,ANDA083951
,,,,[],,,ANDA083963
,,,,[],,,ANDA083978
,,,,[],,,ANDA084020
,,,,[],,,NDA018063
,,,,[],,,ANDA084055
,,,,[],,,NDA018067
,,,,[],,,NDA018069
,,,,[],,,ANDA084204
,,,,[],,,ANDA084219
,,,,[],,,ANDA084223
,,,,[],,,ANDA084246
,,,,[],,,ANDA084247
,,,,[],,,ANDA084252
,,,,[],,,ANDA084275
,,,,[],,,ANDA084290
,,,,[],,,ANDA084291
,,,,[],,,ANDA084301
,,,,[],,,NDA018086
,,,,[],,,ANDA084306
,,,,[],,,ANDA084327
,,,,[],,,ANDA084329
,,,,[],,,NDA018089
,,,,[],,,ANDA084363
,,,,[],,,ANDA084364
,,,,[],,,ANDA084386
,,,,[],,,ANDA084411
,,,,[],,,ANDA084413
,,,,[],,,ANDA084417
,,,,[],,,NDA018101
,,,,[],,,ANDA084445
,,,,[],,,ANDA084463
,,,,[],,,ANDA084476
,,,,[],,,ANDA084492
,,,,[],,,ANDA084510
,,,,[],,,ANDA084531
,,,,[],,,ANDA084542
,,,,[],,,ANDA084549
,,,,[],,,ANDA084551
,,,,[],,,ANDA084552
,,,,[],,,ANDA084554
,,,,[],,,ANDA084559
,,,,[],,,ANDA084560
,,,,[],,,ANDA084566
,,,,[],,,ANDA084578
,,,,[],,,ANDA084590
,,,,[],,,ANDA084606
,,,,[],,,ANDA084648
,,,,[],,,NDA007935
,,,,[],,,ANDA084768
,,,,[],,,ANDA084779
,,,,[],,,ANDA084789
,,,,[],,,ANDA084868
,,,,[],,,ANDA084869
,,,,[],,,ANDA084908
,,,,[],,,ANDA084916
,,,,[],,,ANDA084920
,,,,[],,,NDA018154
,,,,[],,,ANDA084949
,,,,[],,,ANDA084976
,,,,[],,,ANDA084986
,,,,[],,,NDA007936
,,,,[],,,NDA018161
,,,,[],,,ANDA085034
,,,,[],,,ANDA085035
,,,,[],,,ANDA085037
,,,,[],,,ANDA085095
,,,,[],,,ANDA085100
,,,,[],,,ANDA085107
,,,,[],,,ANDA085122
,,,,[],,,ANDA085128
,,,,[],,,ANDA085161
,,,,[],,,ANDA085162
,,,,[],,,ANDA085167
,,,,[],,,ANDA085200
,,,,[],,,ANDA085201
,,,,[],,,ANDA085211
,,,,[],,,ANDA085229
,,,,[],,,ANDA085231
,,,,[],,,ANDA085239
,,,,[],,,ANDA085245
,,,,[],,,ANDA085282
,,,,[],,,NDA018201
,,,,[],,,ANDA085331
,,,,[],,,ANDA085362
,,,,[],,,ANDA085368
,,,,[],,,ANDA085370
,,,,[],,,ANDA085371
,,,,[],,,ANDA085373
,,,,[],,,ANDA085401
,,,,[],,,ANDA085411
,,,,[],,,ANDA085417
,,,,[],,,ANDA085454
,,,,[],,,ANDA085461
,,,,[],,,ANDA085466
,,,,[],,,ANDA085470
,,,,[],,,ANDA085476
,,,,[],,,ANDA085498
,,,,[],,,ANDA085551
,,,,[],,,ANDA085579
,,,,[],,,ANDA085594
,,,,[],,,ANDA085599
,,,,[],,,ANDA085632
,,,,[],,,ANDA085638
,,,,[],,,ANDA085652
,,,,[],,,ANDA085664
,,,,[],,,ANDA085683
,,,,[],,,ANDA085719
,,,,[],,,ANDA085732
,,,,[],,,ANDA085775
,,,,[],,,ANDA085788
,,,,[],,,NDA018246
,,,,[],,,ANDA085789
,,,,[],,,ANDA085796
,,,,[],,,ANDA085811
,,,,[],,,NDA018248
,,,,[],,,ANDA085820
,,,,[],,,ANDA085873
,,,,[],,,ANDA085883
,,,,[],,,ANDA085884
,,,,[],,,ANDA085892
,,,,[],,,ANDA085896
,,,,[],,,ANDA085898
,,,,[],,,ANDA085936
,,,,[],,,ANDA085938
,,,,[],,,ANDA085973
,,,,[],,,ANDA085981
,,,,[],,,ANDA085982
,,,,[],,,ANDA085985
,,,,[],,,ANDA086013
,,,,[],,,ANDA086020
,,,,[],,,NDA018270
,,,,[],,,ANDA086065
,,,,[],,,ANDA086143
,,,,[],,,NDA008032
,,,,[],,,ANDA086153
,,,,[],,,ANDA086213
,,,,[],,,ANDA086217
,,,,[],,,ANDA086310
,,,,[],,,ANDA086357
,,,,[],,,ANDA086394
,,,,[],,,ANDA086410
,,,,[],,,ANDA086440
,,,,[],,,ANDA086459
,,,,[],,,ANDA086462
,,,,[],,,ANDA086468
,,,,[],,,ANDA086485
,,,,[],,,ANDA086569
,,,,[],,,ANDA086576
,,,,[],,,ANDA086580
,,,,[],,,ANDA086586
,,,,[],,,NDA018314
,,,,[],,,ANDA086697
,,,,[],,,ANDA086711
,,,,[],,,ANDA086712
,,,,[],,,ANDA086742
,,,,[],,,ANDA086750
,,,,[],,,ANDA086761
,,,,[],,,ANDA086796
,,,,[],,,ANDA086854
,,,,[],,,ANDA086866
,,,,[],,,ANDA086875
,,,,[],,,NDA018336
,,,,[],,,ANDA086888
,,,,[],,,ANDA086968
,,,,[],,,ANDA087010
,,,,[],,,ANDA087020
,,,,[],,,NDA018354
,,,,[],,,ANDA087032
,,,,[],,,NDA018358
,,,,[],,,ANDA087073
,,,,[],,,ANDA087075
,,,,[],,,ANDA087077
,,,,[],,,ANDA087091
,,,,[],,,ANDA087100
,,,,[],,,ANDA087108
,,,,[],,,ANDA087126
,,,,[],,,ANDA087144
,,,,[],,,ANDA087209
,,,,[],,,ANDA087213
,,,,[],,,ANDA087215
,,,,[],,,ANDA087223
,,,,[],,,ANDA087274
,,,,[],,,ANDA087296
,,,,[],,,NDA018379
,,,,[],,,ANDA087378
,,,,[],,,ANDA087395
,,,,[],,,ANDA087397
,,,,[],,,ANDA087407
,,,,[],,,ANDA087422
,,,,[],,,NDA018399
,,,,[],,,ANDA087458
,,,,[],,,ANDA087464
,,,,[],,,ANDA087504
,,,,[],,,ANDA087523
,,,,[],,,NDA018415
,,,,[],,,ANDA087550
,,,,[],,,NDA008114
,,,,[],,,ANDA087585
,,,,[],,,ANDA087592
,,,,[],,,ANDA087612
,,,,[],,,ANDA087614
,,,,[],,,ANDA087621
,,,,[],,,ANDA087629
,,,,[],,,ANDA087657
,,,,[],,,ANDA087677
,,,,[],,,NDA018439
,,,,[],,,ANDA087685
,,,,[],,,ANDA087699
,,,,[],,,ANDA087717
,,,,[],,,ANDA087742
,,,,[],,,ANDA087766
,,,,[],,,ANDA087777
,,,,[],,,ANDA087792
,,,,[],,,ANDA087799
,,,,[],,,ANDA087826
,,,,[],,,ANDA087835
,,,,[],,,ANDA087842
,,,,[],,,ANDA087912
,,,,[],,,ANDA087943
,,,,[],,,NDA018484
,,,,[],,,ANDA087969
,,,,[],,,ANDA087980
,,,,[],,,ANDA088015
,,,,[],,,ANDA088017
,,,,[],,,ANDA088020
,,,,[],,,ANDA088024
,,,,[],,,ANDA088029
,,,,[],,,ANDA088032
,,,,[],,,ANDA088058
,,,,[],,,ANDA088077
,,,,[],,,ANDA088081
,,,,[],,,ANDA088100
,,,,[],,,ANDA088109
,,,,[],,,ANDA088129
,,,,[],,,ANDA088131
,,,,[],,,ANDA088157
,,,,[],,,ANDA088186
,,,,[],,,ANDA088188
,,,,[],,,ANDA088200
,,,,[],,,NDA018512
,,,,[],,,ANDA088252
,,,,[],,,ANDA088270
,,,,[],,,ANDA088280
,,,,[],,,ANDA088319
,,,,[],,,NDA008278
,,,,[],,,ANDA088325
,,,,[],,,ANDA088336
,,,,[],,,ANDA088344
,,,,[],,,ANDA088349
,,,,[],,,NDA018531
,,,,[],,,ANDA088361
,,,,[],,,ANDA088367
,,,,[],,,ANDA088370
,,,,[],,,ANDA088383
,,,,[],,,ANDA088409
,,,,[],,,ANDA088410
,,,,[],,,NDA018543
,,,,[],,,ANDA088467
,,,,[],,,ANDA088468
,,,,[],,,ANDA088470
,,,,[],,,ANDA088475
,,,,[],,,ANDA088496
,,,,[],,,ANDA088503
,,,,[],,,ANDA088522
,,,,[],,,ANDA088528
,,,,[],,,ANDA088532
,,,,[],,,ANDA088539
,,,,[],,,ANDA088568
,,,,[],,,ANDA088571
,,,,[],,,ANDA088572
,,,,[],,,ANDA088587
,,,,[],,,ANDA088599
,,,,[],,,ANDA088608
,,,,[],,,ANDA088612
,,,,[],,,ANDA088617
,,,,[],,,ANDA088619
,,,,[],,,ANDA088634
,,,,[],,,ANDA088641
,,,,[],,,ANDA088646
,,,,[],,,ANDA088652
,,,,[],,,ANDA088654
,,,,[],,,ANDA088657
,,,,[],,,ANDA088659
,,,,[],,,ANDA088668
,,,,[],,,ANDA088682
,,,,[],,,ANDA088691
,,,,[],,,ANDA088694
,,,,[],,,ANDA088702
,,,,[],,,ANDA088710
,,,,[],,,ANDA088711
,,,,[],,,ANDA088722
,,,,[],,,NDA008306
,,,,[],,,ANDA088739
,,,,[],,,NDA018584
,,,,[],,,NDA018588
,,,,[],,,ANDA088819
,,,,[],,,ANDA088821
,,,,[],,,ANDA088826
,,,,[],,,ANDA088827
,,,,[],,,ANDA088828
,,,,[],,,ANDA088837
,,,,[],,,ANDA088869
,,,,[],,,NDA008316
,,,,[],,,ANDA088873
,,,,[],,,ANDA088886
,,,,[],,,ANDA088891
,,,,[],,,ANDA088900
,,,,[],,,ANDA088907
,,,,[],,,ANDA088932
,,,,[],,,ANDA088936
,,,,[],,,ANDA088947
,,,,[],,,ANDA088961
,,,,[],,,ANDA088987
,,,,[],,,ANDA088999
,,,,[],,,ANDA089003
,,,,[],,,ANDA089064
,,,,[],,,ANDA089067
,,,,[],,,NDA018621
,,,,[],,,ANDA089102
,,,,[],,,ANDA089109
,,,,[],,,ANDA089111
,,,,[],,,ANDA089132
,,,,[],,,ANDA089135
,,,,[],,,ANDA089137
,,,,[],,,ANDA089178
,,,,[],,,ANDA089185
,,,,[],,,NDA018649
,,,,[],,,ANDA089219
,,,,[],,,ANDA089220
,,,,[],,,ANDA089234
,,,,[],,,ANDA089239
,,,,[],,,NDA018652
,,,,[],,,ANDA089257
,,,,[],,,ANDA089259
,,,,[],,,ANDA089267
,,,,[],,,ANDA089291
,,,,[],,,ANDA089293
,,,,[],,,NDA018657
,,,,[],,,ANDA089312
,,,,[],,,ANDA089321
,,,,[],,,NDA018658
,,,,[],,,ANDA089346
,,,,[],,,NDA018664
,,,,[],,,ANDA089407
,,,,[],,,ANDA089434
,,,,[],,,ANDA089441
,,,,[],,,NDA018671
,,,,[],,,ANDA089488
,,,,[],,,ANDA089501
,,,,[],,,ANDA089519
,,,,[],,,ANDA089523
,,,,[],,,ANDA089526
,,,,[],,,ANDA089528
,,,,[],,,ANDA089561
,,,,[],,,ANDA089563
,,,,[],,,ANDA089568
,,,,[],,,ANDA089582
,,,,[],,,ANDA089585
,,,,[],,,ANDA089595
,,,,[],,,ANDA089598
,,,,[],,,ANDA089614
,,,,[],,,ANDA089619
,,,,[],,,ANDA089645
